Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United Kingdom,England,University of Derby,Financial Investigation and Digital Intelligence,"2,711,105 BDT / year",1½ year,4.4,120,6%,https://www.mastersportal.com/studies/269176/financial-investigation-and-digital-intelligence.html?ref=search_card
United Kingdom,N Ireland,Queen's University Belfast,Business Analytics,"4,138,846 BDT / year",1 year,4.3,88,2%,https://www.mastersportal.com/studies/286682/business-analytics.html?ref=search_card
France,Paris,Audencia,MSc in Data Management in Corporate Finance,"2,100,518 BDT / year",2 years,3.9,34,,https://www.mastersportal.com/studies/306524/msc-in-data-management-in-corporate-finance.html?ref=search_card
Germany,Karlsruhe,Karlsruhe Institute of Technology (KIT),Information Systems Engineering and Management,"3,045,047 BDT / year","1 year, 8 months",4.5,152,1%,https://www.mastersportal.com/studies/19817/information-systems-engineering-and-management.html?ref=search_card
United Kingdom,Scotland,University of Glasgow,Data Analytics,"5,366,062 BDT / year",1 year,4.3,122,0.50%,https://www.mastersportal.com/studies/152919/data-analytics.html?ref=search_card
United Kingdom,England,University of Bath,Robotics and Autonomous Systems,"4,459,687 BDT / year",1 year,4.4,60,2%,https://www.mastersportal.com/studies/277999/robotics-and-autonomous-systems.html?ref=search_card
United Kingdom,England,University of Bristol,Internet of Things with AI,"5,919,512 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/467974/internet-of-things-with-ai.html?ref=search_card
United States,Florida,Embry-Riddle Aeronautical University,Computer Science,"2,962,812 BDT / year",,2.7,3,8%,https://www.mastersportal.com/studies/485782/computer-science.html?ref=search_card
United States,Michigan,University of Michigan - Dearborn,Human-Centered Design and Engineering,"3,802,434 BDT / year",1 year,4.6,10,,https://www.mastersportal.com/studies/302451/human-centered-design-and-engineering.html?ref=search_card
United Kingdom,England,The University for the Creative Arts,Human Computer Interaction,"2,807,357 BDT / year",1 year,4.2,85,,https://www.mastersportal.com/studies/425600/human-computer-interaction.html?ref=search_card
Multiple locations,N/A,The University of Lancashire,Cyber Security,"2,871,525 BDT / year",1 year,4.1,62,5%,https://www.mastersportal.com/studies/60302/cyber-security.html?ref=search_card
Netherlands,Amsterdam,University of Amsterdam,Logic,"3,665,334 BDT / year",2 years,4.2,125,0.50%,https://www.mastersportal.com/studies/814/logic.html?ref=search_card
United Kingdom,England,University of East Anglia,Cyber Security,"3,930,299 BDT / year",1 year,4.4,39,2%,https://www.mastersportal.com/studies/282456/cyber-security.html?ref=search_card
United Kingdom,Wales,Bangor University,Computing,"3,288,618 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/326464/computing.html?ref=search_card
Sweden,Jönköping,Jönköping University,Applied Economics and Data Analysis,"1,770,924 BDT / year",2 years,4.3,40,6%,https://www.mastersportal.com/studies/302391/applied-economics-and-data-analysis.html?ref=search_card
United Kingdom,England,Northumbria University,Cyber Security with Advanced Practice,"3,360,807 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/368749/cyber-security-with-advanced-practice.html?ref=search_card
United Kingdom,N Ireland,Ulster University,Computer Science (Part-time),"3,809,182 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/318819/computer-science.html?ref=search_card
United States,Tennessee,University of Memphis,Computer Science,"4,648,917 BDT / year",1 year,4.4,17,6%,https://www.mastersportal.com/studies/129290/computer-science.html?ref=search_card
United States,California,"University of California, Riverside",Computer Science,"2,306,451 BDT / year",2 years,4.8,8,2%,https://www.mastersportal.com/studies/486089/computer-science.html?ref=search_card
Cyprus,Nicosia,University of Nicosia,Metaverse,,1½ year,4.1,168,6%,https://www.mastersportal.com/studies/467632/metaverse.html?ref=search_card
United Kingdom,England,University of Nottingham,Economics and Data Science,,1 year,4.3,127,0.50%,https://www.mastersportal.com/studies/341531/economics-and-data-science.html?ref=search_card
China,Suzhou,Xi'an Jiaotong-Liverpool University,Social Computing,"2,068,358 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/82568/social-computing.html?ref=search_card
United Kingdom,N Ireland,Ulster University,Computer Science with Industrial Placement,"3,809,182 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/458315/computer-science-with-industrial-placement.html?ref=search_card
Ireland,Dublin,Dublin City University,Electronic and Computer Technology,"3,524,360 BDT / year",1 year,4.3,148,3%,https://www.mastersportal.com/studies/314640/electronic-and-computer-technology.html?ref=search_card
China,Suzhou,Xi'an Jiaotong-Liverpool University,Financial Computing,"2,068,358 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/82124/financial-computing.html?ref=search_card
Ireland,Athlone,Technological University of the Shannon,Software Design with Cloud Native Computing,"2,467,052 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/352794/software-design-with-cloud-native-computing.html?ref=search_card
United Kingdom,England,Northumbria University,Cyber Security,"3,168,303 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/352639/cyber-security.html?ref=search_card
United Kingdom,Scotland,The University of Edinburgh,Statistics with Data Science,"5,325,957 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/235768/statistics-with-data-science.html?ref=search_card
Ireland,Galway,University of Galway,Computer Science - Data Analytics,"3,947,283 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/72494/computer-science-data-analytics.html?ref=search_card
France,Paris,SupBiotech Paris,Biotechnology and AI,"1,966,593 BDT / year",2 years,,,,https://www.mastersportal.com/studies/484762/biotechnology-and-ai.html?ref=search_card
United States,New York,Long Island University (LIU),Data Analytics and Strategic Business Intelligence,"5,170,771 BDT / year",1 year,4,6,,https://www.mastersportal.com/studies/381058/data-analytics-and-strategic-business-intelligence.html?ref=search_card
United Kingdom,Scotland,Abertay University,Research Methods in Psychology,"2,727,147 BDT / year",1 year,3.7,67,,https://www.mastersportal.com/studies/477874/research-methods-in-psychology.html?ref=search_card
United Kingdom,England,University of Liverpool,Theoretical Computer Science with a Year in Industry,"4,940,948 BDT / year",2 years,4.3,115,1%,https://www.mastersportal.com/studies/288214/theoretical-computer-science-with-a-year-in-industry.html?ref=search_card
United Kingdom,Wales,Bangor University,Computing for Data Science,"3,288,618 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/326465/computing-for-data-science.html?ref=search_card
United Kingdom,England,London Metropolitan University,Robotics with Artificial Intelligence,"2,911,630 BDT / year",1 year,4.2,136,7%,https://www.mastersportal.com/studies/318974/robotics-with-artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Liverpool,Building Information Modelling and Digital Transformation,"4,267,182 BDT / year",1 year,4.3,115,1%,https://www.mastersportal.com/studies/288193/building-information-modelling-and-digital-transformation.html?ref=search_card
United Kingdom,Wales,Bangor University,Advanced Data Science,"3,208,408 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/326463/advanced-data-science.html?ref=search_card
Multiple locations,N/A,Northumbria University,Computing and Technology,"3,360,807 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/352405/computing-and-technology.html?ref=search_card
United Arab Emirates,Dubai,University of Birmingham Dubai,Artificial Intelligence and Machine Learning,"5,624,145 BDT / year",1 year,4.3,7,4%,https://www.mastersportal.com/studies/347986/artificial-intelligence-and-machine-learning.html?ref=search_card
United Kingdom,N Ireland,Ulster University,Computer Science,"2,857,087 BDT / year",1 year,4.2,57,3%,https://www.mastersportal.com/studies/400262/computer-science.html?ref=search_card
United Kingdom,England,Queen Mary University of London,Electronic Engineering By Research,"4,804,591 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/39269/electronic-engineering-by-research.html?ref=search_card
United Kingdom,N Ireland,Ulster University,Artificial Intelligence (Part-time),"3,809,182 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/400253/artificial-intelligence.html?ref=search_card
United Kingdom,Scotland,University of Dundee,Business Analytics and Marketing,"3,689,669 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/460769/business-analytics-and-marketing.html?ref=search_card
United Kingdom,England,Newcastle University,Cloud Computing,"5,085,326 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7157/cloud-computing.html?ref=search_card
United States,Michigan,University of Michigan - Dearborn,Artificial Intelligence,"3,802,434 BDT / year",2 years,4.6,10,,https://www.mastersportal.com/studies/418477/artificial-intelligence.html?ref=search_card
Singapore,Singapore,National University of Singapore,Artificial Intelligence and Innovation,"5,060,749 BDT / year",1 year,4.4,64,0.50%,https://www.mastersportal.com/studies/468802/artificial-intelligence-and-innovation.html?ref=search_card
United Kingdom,England,Teesside University,Crime Intelligence and Data Analytics,"2,727,147 BDT / year",1 year,4.3,83,7%,https://www.mastersportal.com/studies/271162/crime-intelligence-and-data-analytics.html?ref=search_card
United Kingdom,England,University of Sussex,Advanced Computer Science,"4,211,035 BDT / year",1 year,4.2,83,1%,https://www.mastersportal.com/studies/81042/advanced-computer-science.html?ref=search_card
United Kingdom,England,UWE Bristol (University of the West of England),Artificial Intelligence,"2,887,567 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/430287/artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Bristol,Wireless Communications and Signal Processing,"5,743,050 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/10626/wireless-communications-and-signal-processing.html?ref=search_card
United Kingdom,England,University of Bristol,Geographic Data Science and Spatial Analytics,"5,229,705 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/433011/geographic-data-science-and-spatial-analytics.html?ref=search_card
United Kingdom,England,University of Greenwich,Computer Science and Cyber Security,"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454841/computer-science-and-cyber-security.html?ref=search_card
United States,Connecticut,University of Bridgeport,Artificial Intelligence,"4,477,415 BDT / year",1 year,3.4,8,,https://www.mastersportal.com/studies/388542/artificial-intelligence.html?ref=search_card
United Kingdom,England,Queen Mary University of London,Health Data in Practice,"3,890,194 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/476265/health-data-in-practice.html?ref=search_card
Canada,Sault Ste. Marie,Algoma University,Business Analytics,"2,646,018 BDT / year","1 year, 4 months",4.1,29,,https://www.mastersportal.com/studies/477008/business-analytics.html?ref=search_card
Ireland,Limerick,Technological University of the Shannon,Data Analytics,"2,608,026 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/244792/data-analytics.html?ref=search_card
United States,Texas,Webster University,Business Analytics - San Antonio,"2,278,520 BDT / year",1½ year,4,13,,https://www.mastersportal.com/studies/484745/business-analytics-san-antonio.html?ref=search_card
United Kingdom,England,University of Essex,Economics with Data Science,"3,769,879 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/314352/economics-with-data-science.html?ref=search_card
United Kingdom,England,Brunel University of London,Wireless and Computer Communication Networks,"3,977,623 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/6231/wireless-and-computer-communication-networks.html?ref=search_card
United Kingdom,England,Northumbria University,Computing and Technology with Advanced Practice,"3,360,807 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/352637/computing-and-technology-with-advanced-practice.html?ref=search_card
United Kingdom,England,Newcastle University,Microelectronics - Systems and Devices,"4,820,633 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7175/microelectronics-systems-and-devices.html?ref=search_card
